title,author,genre,publication_year,publisher,pages,price,sales,user_rating,availability,_id
Cross-platform object-oriented knowledge user,Amber Kelly,say,1991,Vincent-Anderson,747,88,6435,4.5,92,65c80e62e225459b9f969f00
Switchable real-time application,Gregory Page,front,1997,Tran-Brooks,153,54,5146,4.8,87,65c80e62e225459b9f969f01
Ergonomic optimal emulation,Sherry Cox,already,1979,"Weaver, Horne and Shaw",829,91,2429,2.4,94,65c80e62e225459b9f969f02
Persevering executive superstructure,Christina Thompson,become,2009,Simmons-White,113,36,8429,3.4,75,65c80e62e225459b9f969f03
Stand-alone 4thgeneration policy,Jenna Hart,say,1988,Daniel Group,928,20,6510,1.1,56,65c80e62e225459b9f969f04
Cross-group zero-defect emulation,Ricky Gomez,in,1988,Lewis-Huynh,807,72,7803,2.9,44,65c80e62e225459b9f969f05
Down-sized actuating concept,Robert Price,military,1995,Evans-Sanchez,271,84,119,1.9,28,65c80e62e225459b9f969f06
Front-line reciprocal definition,Darlene Hawkins,us,1978,Mack-Johnson,388,86,9189,2.6,45,65c80e62e225459b9f969f07
Decentralized secondary hub,Stephen Keller,process,2008,Smith Inc,100,59,9459,4.2,48,65c80e62e225459b9f969f08
Innovative real-time model,Michael Randall,event,1981,Cobb-Adams,226,30,7362,1.3,88,65c80e62e225459b9f969f09
